id,eng,simp,trad
1,Let's try something.,我们试试看！,我們試試看！
2,I have to go to sleep.,我该去睡觉了。,我該去睡覺了。
3,What are you doing?,你在干什麽啊？,你在幹什麼啊？
4,What is it?,这是什麽啊？,這是什麼啊？
5,Today is June 18th and it is Muiriel's birthday!,今天是６月１８号，也是Muiriel的生日！,今天是６月１８號，也是Muiriel的生日！
6,"Happy birthday, Muiriel!",生日快乐，Muiriel！,生日快樂，Muiriel！
7,Muiriel is 20 now.,Muiriel现在20岁了。,Muiriel現在20歲了。
8,"The password is ""Muiriel"".","密码是""Muiriel""。","密碼是""Muiriel""。"
9,I will be back soon.,我很快就会回来。,我很快就會回來。
10,I have no idea.,我不知道。,我不知道。
11,I'm at a loss for words.,我不知道应该说什麽才好。,我不知道應該說什麼才好。
12,This is never going to end.,这个永远完不了了。,這個永遠完不了了。
13,I just don't know what to say.,我只是不知道应该说什麽而已……,我只是不知道應該說什麼而已……
14,That was an evil bunny.,那是一隻有恶意的兔子。,那是一隻有惡意的兔子。
15,I was in the mountains.,我以前在山里。,我以前在山裏。
16,Is it a recent picture?,那是一张近照吗？,那是一張近照嗎？
17,I don't know if I have the time.,我不知道我有没有时间。,我不知道我有沒有時間。
18,For some reason the microphone didn't work earlier.,刚才我的麦克风没起作用，不知道为什麽。,剛才我的麥克風沒起作用，不知道為什麼。
19,Everyone must learn on their own in the end.,到了最后，大家一定要靠自己学习。,到了最後，大家一定要靠自己學習。
20,Education in this world disappoints me.,世界上的教育都让我失望。,世界上的教育都讓我失望。
21,"It is a difficult task, choosing what is ""right"" or ""wrong"", but you have to do it.",选择什么是“对”或“错”是一项艰难的任务，我们却必须要完成它。,選擇什麼是“對”或“錯”是一項艱難的任務，我們卻必須要完成它。
22,That won't change anything.,这样做的话什麽都不会改变的。,這樣做的話什麼都不會改變的。
23,This will cost €30.,这个要三十欧元。,這個要三十歐元。
24,I make €100 a day.,我一天赚一百欧元。,我一天賺一百歐元。
25,I may give up soon and just nap instead.,也许我会马上放弃然后去睡一觉。,也許我會馬上放棄然後去睡一覺。
26,That won't happen.,那是不会发生的。,那是不會發生的。
27,I will try not to interrupt you while you are studying.,我会尽量不打扰你复习。,我會盡量不打擾你復習。
28,Don't worry.,不要担心。,不要擔心。
29,I miss you.,我很想你。,我很想你。
30,I'll call them tomorrow when I come back.,我明天回来的时候会跟他们联络。,我明天回來的時候會跟他們聯絡。
31,I always liked mysterious characters more.,我一直都比较喜欢神秘一点的人物。,我一直都比較喜歡神秘一點的人物。
32,You should sleep.,你应该去睡觉了吧。,你應該去睡覺了吧。
33,I'm going to go.,我要走了。,我要走了。
34,I told them to send me another ticket.,我请他们再寄给我一张票。,我請他們再寄給我一張票。
35,I can't live that kind of life.,我不能活那种命。,我不能活那種命。
36,I once wanted to be an astrophysicist.,我曾经想过当个太空物理学家。,我曾經想過當個太空物理學家。
37,I never liked biology.,我从来没喜欢过生物学。,我從來沒喜歡過生物學。
38,It is unfortunately true.,可惜这是真的。,可惜這是真的。
39,Most people think I'm crazy.,大部份的人觉得我疯了。,大部份的人覺得我瘋了。
40,No I'm not; you are!,不，我不是！你才是！,不，我不是！你才是！
41,That's MY line!,那是我该说的话!,那是我該說的話!
42,He's kicking me!,他在踢我！,他在踢我！
43,Are you sure?,你肯定吗？,你肯定嗎？
44,Then there is a problem...,那就表示有问题...,那就表示有問題...
45,"Oh, there's a butterfly!",哦！有一隻蝴蝶！,哦！有一隻蝴蝶！
46,Hurry up.,赶快!,趕快!
47,If I could be like that...,如果我可以像那样的话...,如果我可以像那樣的話...
48,Are you freaking kidding me?!,你是在跟我开玩笑吧？！,你是在跟我開玩笑吧？！
49,"When I grow up, I want to be a king.",我长大后想当国王。,我長大後想當國王。
50,I'm so fat.,我好胖哦。,我好胖哦。
51,So what?,那又怎样?,那又怎樣?
52,I will shoot him.,我要把他射下来。,我要把他射下來。
53,That's because you're a girl.,那是因为妳是女生。,那是因為妳是女生。
54,"I'd be unhappy, but I wouldn't kill myself.",我会不高兴，但我不会自杀。,我會不高興，但我不會自殺。
55,"Back in high school, I got up at 6 a.m. every morning.",以前读高中的时候﹐我每天早上六点起床。,以前讀高中的時候﹐我每天早上六點起床。
56,Why do you ask?,你问这个干什麽?,你問這個幹什麼?
57,How long did you stay?,你待了多久?,你待了多久?
58,I didn't know where it came from.,我不知道它是从哪里来的。,我不知道它是從哪裏來的。
59,This is not important.,这个不重要。,這個不重要。
60,Where is the problem?,哪裡有问题?,哪裡有問題?
61,"Stop seeing me as a ""normal"" person!",不要再把我当成“正常” 人!,不要再把我當成“正常” 人!
62,"All that which is invented, is true.",所有被发明的都是真的。,所有被發明的都是真的。
63,"To be surprised, to wonder, is to begin to understand.",感到惊讶、感到惊奇就是明白的开始。,感到驚訝、感到驚奇就是明白的開始。
64,There's no doubt that the universe is infinite.,宇宙毫无疑问是无限的。,宇宙毫無疑問是無限的。
65,To be perfect she lacked just one defect.,要变得完美，她就是少了一个缺点。,要變得完美，她就是少了一個缺點。
66,"And yet, the contrary is always true as well.",然而，相反的理论往往也是真的。,然而，相反的理論往往也是真的。
67,"We don't see things as they are, but as we are.",我们看东西不是看其实质，而是以我们的主观意识看它们的。,我們看東西不是看其實質，而是以我們的主觀意識看它們的。
68,The world is a den of crazies.,世界就是一个疯子的囚笼。,世界就是一個瘋子的囚籠。
69,My name is Jack.,我叫Jack。,我叫Jack。
70,Love is never wasted.,从来就没有徒劳的爱情。,從來就沒有徒勞的愛情。
71,Life is what happens to you while you're busy making other plans.,生活就是当你忙着进行你的计划时总有其他的事情发生。,生活就是當你忙著進行你的計劃時總有其他的事情發生。
72,Not wanting is the same as having.,没有欲望就等于拥有。,沒有欲望就等於擁有。
73,Merry Christmas!,圣诞节快乐！,聖誕節快樂！
74,Rome wasn't built in a day.,罗马不是一天建成的。,羅馬不是一天建成的。
